Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Volume,Exit_Volume,PnL_Points,PnL_Pct
2022-03-09,2022-03-10,16345.35,16594.9,462230000000.0,486450000000.0,249.55,1.53
2022-03-14,2022-03-15,16871.3,16606.5,314670000000.0,381600.0,-264.8,-1.57
2022-03-16,2022-04-07,16975.349609375,17705.529827008926,260000.0,308840000000.0,730.18,4.3
2022-04-21,2022-04-22,17392.6,17215.5,285200000000.0,262700.0,-177.1,-1.02
2022-04-26,2022-04-27,17200.8,17064.45,261070000000.0,265140000000.0,-136.35,-0.79
2022-04-28,2022-04-29,17245.05,17071.05,312910000000.0,336240000000.0,-174.0,-1.01
2022-05-17,2022-05-18,16259.3,16240.3,295690000000.0,290440000000.0,-19.0,-0.12
2022-05-20,2022-05-23,16266.15,16214.7,252400000000.0,293830000000.0,-51.45,-0.32
2022-05-27,2022-06-07,16352.45,16416.349609375,274060000000.0,233800.0,63.9,0.39
2022-06-21,2022-06-22,15638.8,15419.85,262790000000.00003,220890000000.0,-218.95,-1.4
2022-06-24,2022-06-27,15699.25,15832.05,219600000000.0,210930000000.0,132.8,0.85
2022-07-04,2022-07-05,15835.35,15810.85,304330000000.0,254160000000.0,-24.5,-0.15
2022-07-07,2022-07-12,16132.900390625,16045.9501953125,264600.0,208650000000.0,-86.95,-0.54
2022-07-18,2022-08-22,16278.5,17663.19857142857,227740000000.0,287560000000.0,1384.7,8.51
2022-08-30,2022-09-16,17759.30078125,17707.72842075893,324700.0,468460000000.0,-51.57,-0.29
2022-09-20,2022-09-21,17816.25,17744.4,263100000000.00003,245530000000.0,-71.85,-0.4
2022-09-30,2022-10-03,17094.35,16887.35,376110000000.0,278370000000.0,-207.0,-1.21
2022-10-04,2022-10-07,17274.30078125,17314.65,226000.0,216270000000.0,40.35,0.23
2022-10-14,2022-10-17,17185.7,17169.75,227000000000.0,212220000000.0,-15.95,-0.09
2022-10-18,2022-10-20,17486.94921875,17434.05078125,239500.0,249600000000.0,-52.9,-0.3
2022-10-24,2022-10-25,17730.75,17707.4,45030000000.0,251360000000.0,-23.35,-0.13
2022-10-28,2022-11-10,17786.8,18009.42228236607,250030000000.0,256500.0,222.62,1.25
2022-11-11,2022-11-18,18349.7,18259.35,378470000000.0,198790000000.0,-90.35,-0.49
2022-11-23,2022-12-05,18267.25,18623.166551339287,178800.0,288390000000.0,355.92,1.95
2022-12-13,2022-12-15,18608.0,18490.2,187590000000.0,183100.0,-117.8,-0.63
2022-12-27,2022-12-28,18132.3,18122.5,214260000000.0,193900.0,-9.8,-0.05
2022-12-29,2022-12-30,18191.0,18105.30078125,281050000000.0,192000.0,-85.7,-0.47
2023-01-03,2023-01-04,18232.55,18149.8,208700000000.0,235160000000.0,-82.75,-0.45
2023-01-09,2023-01-10,18101.2,17936.15,257240000000.0,283280000000.0,-165.05,-0.91
2023-01-13,2023-01-16,17956.6,17894.85,256700000000.0,206200000000.0,-61.75,-0.34
2023-01-17,2023-01-20,18053.30078125,18027.65,219100.0,237230000000.0,-25.65,-0.14
2023-02-03,2023-02-06,17854.05,17764.599609375,424120000000.0,282500.0,-89.45,-0.5
2023-02-08,2023-02-10,17871.69921875,17856.5,291000.0,231990000000.0,-15.2,-0.09
2023-02-14,2023-02-20,17929.849609375,17844.599609375,244500.0,174600.0,-85.25,-0.48
2023-03-01,2023-03-02,17450.9,17345.25,272880000000.0,310670000000.0,-105.65,-0.61
2023-03-03,2023-03-09,17594.35,17589.6,356170000000.0,262350000000.00003,-4.75,-0.03
2023-03-17,2023-03-20,17100.05,16958.15,408120000000.0,241800.0,-141.9,-0.83
2023-03-21,2023-03-22,17107.5,17151.9,246740000000.0,0.0,44.4,0.26
2023-03-29,2023-04-20,17080.7,17588.924285714285,345910000000.0,215100.0,508.22,2.98
2023-04-24,2023-05-17,17743.4,18195.0590234375,255740000000.0,229900000000.0,451.66,2.55
2023-05-22,2023-06-23,18314.4,18661.239849330355,262560000000.0,210600.0,346.84,1.89
2023-06-27,2023-07-21,18817.4,19713.435200892854,222460000000.0,312460000000.0,896.04,4.76
2023-07-26,2023-07-27,19778.3,19716.7,244750000000.0,334680.0,-61.6,-0.31
2023-07-31,2023-08-02,19753.80078125,19597.599609375,295100.0,290700.0,-156.2,-0.79
2023-08-07,2023-08-09,19597.30078125,19524.80078125,216600.0,266500.0,-72.5,-0.37
2023-08-21,2023-08-22,19393.599609375,19396.44921875,262600.0,208700.0,2.85,0.01
2023-08-23,2023-08-24,19444.0,19386.69921875,225200.0,268300.0,-57.3,-0.29
2023-09-01,2023-09-20,19435.30078125,19967.228404017857,333000.0,378100.0,531.93,2.74
2023-09-27,2023-09-28,19716.44921875,19554.0,203600.0,352800.0,-162.45,-0.82
2023-10-05,2023-10-06,19545.75,19653.5,234900.0,159100.0,107.75,0.55
2023-10-10,2023-10-18,19689.849609375,19671.099609375,216600.0,198900.0,-18.75,-0.1
2023-10-27,2023-10-30,19047.25,19140.900390625,205200.0,180100.0,93.65,0.49
2023-11-02,2023-11-03,19133.25,19230.599609375,245600.0,189500.0,97.35,0.51
2023-11-06,2023-12-20,19411.75,21213.424497767857,180700.0,363900.0,1801.67,9.28
2023-12-22,2024-01-10,21349.400390625,21500.745675223214,284700.0,217000.0,151.35,0.71
2024-01-11,2024-01-17,21647.19921875,21798.588699776785,212500.0,456000.0,151.39,0.7
2024-01-19,2024-01-23,21622.400390625,21575.0,343100.0,449700.0,-47.4,-0.22
2024-01-29,2024-01-30,21737.599609375,21522.099609375,376700.0,375100.0,-215.5,-0.99
2024-02-02,2024-02-05,21853.80078125,21805.55078125,442800.0,440800.0,-48.25,-0.22
2024-02-14,2024-02-28,21840.05078125,21951.150390625,359100.0,203000.0,111.1,0.51
2024-03-01,2024-03-13,22338.75,22159.5173828125,351500.0,493300.0,-179.23,-0.8
2024-03-21,2024-03-22,22011.94921875,21941.30078125,353200.0,388700.0,-70.65,-0.32
2024-03-27,2024-04-15,22123.650390625,22406.005385044642,409100.0,355500.0,282.35,1.28
2024-04-22,2024-05-03,22336.400390625,22371.940122767857,279300.0,438100.0,35.54,0.16
2024-05-14,2024-05-15,22217.849609375,22200.55078125,230200.0,231900.0,-17.3,-0.08
2024-05-16,2024-05-29,22403.849609375,22703.704715401786,368900.0,269900.0,299.86,1.34
2024-06-06,2024-07-22,22821.400390625,24502.0306640625,480400.0,324200.0,1680.63,7.36
2024-07-26,2024-08-05,24834.849609375,24637.8404296875,383800.0,487000.0,-197.01,-0.79
2024-08-09,2024-08-12,24367.5,24311.19921875,215100.0,279900.0,-56.3,-0.23
2024-08-16,2024-09-06,24541.150390625,25086.986356026784,271600.0,311700.0,545.84,2.22
2024-09-10,2024-09-11,25041.099609375,24896.80078125,251300.0,279200.0,-144.3,-0.58
2024-09-12,2024-09-20,25388.900390625,25440.1947265625,380100.0,533100.0,51.29,0.2
2024-09-23,2024-09-30,25939.05078125,25890.382003348215,209200.0,343100.0,-48.67,-0.19
2024-10-14,2024-10-15,25127.94921875,25017.5,206400.0,257200.0,-110.45,-0.44
2024-11-06,2024-11-07,24484.05078125,24204.05078125,351100.0,322200.0,-280.0,-1.14
2024-11-22,2024-11-28,23907.25,23914.150390625,367600.0,366700.0,6.9,0.03
2024-12-02,2024-12-13,24276.05078125,24399.63744419643,220400.0,310100.0,123.59,0.51
2025-01-01,2025-01-03,23742.900390625,24004.75,154900.0,312300.0,261.85,1.1
2025-01-16,2025-01-17,23311.80078125,23272.05078125,299400.0,272900.0,-39.75,-0.17
2025-01-20,2025-01-21,23344.75,23170.650390625,301500.0,312900.0,-174.1,-0.75
2025-01-23,2025-01-24,23205.349609375,23090.650390625,275600.0,264300.0,-114.7,-0.49
2025-01-29,2025-01-30,23163.099609375,23249.5,226300.0,361900.0,86.4,0.37
2025-01-31,2025-02-03,23508.400390625,23277.400390625,304900.0,329700.0,-231.0,-0.98
2025-02-04,2025-02-10,23739.25,23423.150390625,376700.0,234200.0,-316.1,-1.33
2025-03-05,2025-03-06,22337.30078125,22544.69921875,305900.0,372100.0,207.4,0.93
2025-03-18,2025-03-27,22834.30078125,23421.791852678572,272600.0,510300.0,587.49,2.57
2025-04-08,2025-04-09,22535.849609375,22399.150390625,468300.0,383800.0,-136.7,-0.61
2025-04-11,2025-05-09,22828.55078125,24119.8513671875,402200.0,335600.0,1291.3,5.66
