Date,Type,Entry_Time,Exit_Time,Entry_P,Exit_P,PnL_Pct,Reason
2018-08-24,LONG,10:30:00,10:35:00,11561.4,11560.1,-0.01,SL/Trail
2018-09-06,SHORT,10:05:00,10:30:00,11493.0,11508.687857142857,-0.14,SL/Trail
2018-09-25,SHORT,10:30:00,10:35:00,10984.25,10969.95,0.13,SL/Trail
2018-10-08,SHORT,10:05:00,10:10:00,10319.6,10310.15,0.09,SL/Trail
2018-10-24,SHORT,09:25:00,11:10:00,10242.3,10184.767857142857,0.56,SL/Trail
2018-10-26,SHORT,10:25:00,10:45:00,10062.3,10093.52,-0.31,SL/Trail
2018-11-06,LONG,10:20:00,10:50:00,10568.25,10558.832857142857,-0.09,SL/Trail
2018-11-12,LONG,10:20:00,10:25:00,10586.95,10606.15,0.18,SL/Trail
2018-11-14,LONG,10:10:00,10:15:00,10576.35,10622.8,0.44,SL/Trail
2018-12-21,LONG,10:10:00,10:15:00,10898.4,10925.25,0.25,SL/Trail
2018-12-27,SHORT,09:30:00,10:25:00,10816.3,10796.560714285715,0.18,SL/Trail
2019-01-07,SHORT,09:30:00,10:00:00,10795.0,10813.378571428571,-0.17,SL/Trail
2019-01-24,SHORT,10:30:00,10:40:00,10838.9,10846.55,-0.07,SL/Trail
2019-01-30,SHORT,09:35:00,10:50:00,10680.8,10643.734285714287,0.35,SL/Trail
2019-02-06,LONG,10:30:00,12:45:00,10985.25,11023.543571428572,0.35,SL/Trail
2019-05-06,LONG,09:30:00,10:25:00,11618.35,11612.844285714285,-0.05,SL/Trail
2019-05-09,SHORT,10:20:00,10:25:00,11327.9,11324.1,0.03,SL/Trail
2019-05-15,SHORT,10:25:00,10:30:00,11277.7,11272.5,0.05,SL/Trail
2019-05-20,SHORT,09:20:00,09:55:00,11637.15,11658.507857142857,-0.18,SL/Trail
2019-05-29,LONG,09:55:00,10:00:00,11907.65,11905.8,-0.02,SL/Trail
2019-06-04,LONG,10:20:00,10:25:00,12046.4,12043.4,-0.02,SL/Trail
2019-06-13,LONG,10:10:00,10:15:00,11851.25,11864.5,0.11,SL/Trail
2019-06-18,SHORT,10:20:00,11:15:00,11706.75,11694.466428571428,0.1,SL/Trail
2019-07-18,SHORT,10:20:00,11:45:00,11671.3,11660.835,0.09,SL/Trail
2019-07-22,SHORT,10:25:00,12:20:00,11355.3,11336.062857142857,0.17,SL/Trail
2019-08-07,SHORT,09:55:00,11:00:00,10955.0,10946.021428571428,0.08,SL/Trail
2019-08-08,SHORT,10:30:00,11:35:00,10894.9,10871.905714285715,0.21,SL/Trail
2019-08-19,SHORT,10:25:00,10:30:00,11127.0,11117.9,0.08,SL/Trail
2019-08-21,SHORT,10:10:00,10:15:00,11017.5,11018.15,-0.01,SL/Trail
2019-08-23,SHORT,10:15:00,10:20:00,10716.5,10699.6,0.16,SL/Trail
2019-08-28,LONG,10:10:00,10:15:00,11070.95,11078.25,0.07,SL/Trail
2019-09-27,LONG,10:25:00,10:55:00,11534.55,11523.832857142857,-0.09,SL/Trail
2019-10-07,SHORT,09:55:00,10:00:00,11188.55,11196.2,-0.07,SL/Trail
2019-10-22,LONG,10:15:00,10:20:00,11644.6,11642.0,-0.02,SL/Trail
2019-11-01,LONG,10:25:00,10:30:00,11881.35,11869.7,-0.1,SL/Trail
2020-01-01,LONG,10:15:00,10:20:00,12192.75,12201.45,0.07,SL/Trail
2020-01-09,SHORT,09:50:00,10:25:00,12138.5,12152.995714285715,-0.12,SL/Trail
2020-01-16,LONG,10:30:00,10:50:00,12356.8,12345.7,-0.09,SL/Trail
2020-01-24,SHORT,09:50:00,09:55:00,12205.6,12194.5,0.09,SL/Trail
2020-02-06,LONG,10:30:00,10:35:00,12117.6,12120.0,0.02,SL/Trail
2020-02-19,SHORT,09:30:00,10:45:00,12071.7,12064.597142857143,0.06,SL/Trail
2020-03-17,SHORT,10:05:00,10:10:00,9316.5,9308.5,0.09,SL/Trail
2020-04-07,SHORT,09:25:00,10:25:00,8370.0,8428.71357142857,-0.7,SL/Trail
2020-04-15,SHORT,10:05:00,10:10:00,9228.6,9197.65,0.34,SL/Trail
2020-04-24,LONG,09:35:00,10:30:00,9204.95,9186.469285714285,-0.2,SL/Trail
2020-05-06,SHORT,10:30:00,10:35:00,9301.3,9230.4,0.76,SL/Trail
2020-05-11,LONG,10:25:00,10:45:00,9384.5,9354.702142857142,-0.32,SL/Trail
2020-05-14,LONG,10:30:00,11:10:00,9213.85,9203.868571428571,-0.11,SL/Trail
2020-05-19,SHORT,10:00:00,10:05:00,8982.9,8962.8,0.22,SL/Trail
2020-06-02,LONG,10:25:00,12:25:00,9862.1,9907.82857142857,0.46,SL/Trail
2020-06-30,LONG,10:30:00,10:35:00,10364.5,10371.7,0.07,SL/Trail
2020-07-08,LONG,10:15:00,10:20:00,10805.65,10798.35,-0.07,SL/Trail
2020-08-04,SHORT,10:15:00,10:20:00,10980.8,10971.7,0.08,SL/Trail
2020-08-21,LONG,10:20:00,10:25:00,11392.8,11389.95,-0.03,SL/Trail
2020-09-02,LONG,10:30:00,10:35:00,11438.7,11461.3,0.2,SL/Trail
2020-09-04,LONG,09:35:00,10:35:00,11371.7,11383.027142857143,0.1,SL/Trail
2020-11-12,LONG,09:50:00,09:55:00,12687.35,12693.45,0.05,SL/Trail
2021-01-05,LONG,10:20:00,11:55:00,14066.0,14117.250714285714,0.36,SL/Trail
2021-01-29,SHORT,09:25:00,10:35:00,13907.85,13837.102142857144,0.51,SL/Trail
2021-02-01,SHORT,10:20:00,10:40:00,13749.0,13764.92142857143,-0.12,SL/Trail
2021-02-02,LONG,10:30:00,10:40:00,14569.05,14531.28,-0.26,SL/Trail
2021-02-26,LONG,10:30:00,10:35:00,14794.25,14786.0,-0.06,SL/Trail
2021-03-04,LONG,09:55:00,11:25:00,15032.05,15118.029999999999,0.57,SL/Trail
2021-03-18,SHORT,09:50:00,10:45:00,14830.6,14792.689285714287,0.26,SL/Trail
2021-03-19,SHORT,10:15:00,10:20:00,14485.1,14490.8,-0.04,SL/Trail
2021-03-26,SHORT,09:40:00,10:15:00,14435.85,14488.037857142857,-0.36,SL/Trail
2021-05-17,SHORT,09:50:00,09:55:00,14771.1,14761.0,0.07,SL/Trail
2021-05-19,LONG,10:30:00,11:15:00,15074.35,15070.800000000001,-0.02,SL/Trail
2021-06-01,LONG,10:20:00,10:25:00,15563.1,15590.25,0.17,SL/Trail
2021-06-16,LONG,10:30:00,10:35:00,15809.65,15816.85,0.05,SL/Trail
2021-06-29,LONG,10:10:00,10:15:00,15768.65,15789.55,0.13,SL/Trail
2021-11-17,LONG,09:20:00,10:50:00,17955.45,17992.375,0.21,SL/Trail
2021-12-07,SHORT,10:00:00,10:05:00,17089.95,17058.55,0.18,SL/Trail
2021-12-10,LONG,10:15:00,11:10:00,17464.1,17457.905714285713,-0.04,SL/Trail
2022-02-28,SHORT,10:20:00,10:30:00,16467.55,16498.05,-0.19,SL/Trail
2022-03-03,SHORT,09:20:00,11:10:00,16705.8,16645.73857142857,0.36,SL/Trail
2022-04-13,LONG,10:20:00,10:25:00,17555.4,17595.85,0.23,SL/Trail
2022-04-18,LONG,09:25:00,10:05:00,17227.3,17171.55,-0.32,SL/Trail
2022-05-05,SHORT,09:50:00,10:00:00,16837.4,16858.65,-0.13,SL/Trail
2022-05-23,SHORT,10:20:00,10:50:00,16304.7,16343.229285714286,-0.24,SL/Trail
2022-06-14,SHORT,10:15:00,10:20:00,15772.45,15765.15,0.05,SL/Trail
2022-06-15,SHORT,10:25:00,11:20:00,15733.95,15720.655,0.08,SL/Trail
2022-06-21,SHORT,09:25:00,09:45:00,15438.7,15480.65,-0.27,SL/Trail
2022-07-12,LONG,09:20:00,11:15:00,16146.25,16142.257142857143,-0.02,SL/Trail
2022-07-22,LONG,10:10:00,10:15:00,16629.0,16660.35,0.19,SL/Trail
2022-08-02,LONG,10:05:00,10:10:00,17227.1,17269.6,0.25,SL/Trail
2022-08-03,LONG,09:50:00,09:55:00,17298.75,17316.0,0.1,SL/Trail
2022-08-26,LONG,10:30:00,10:35:00,17624.55,17617.2,-0.04,SL/Trail
2022-09-19,SHORT,10:10:00,10:15:00,17625.4,17562.5,0.36,SL/Trail
2022-09-22,LONG,10:30:00,11:15:00,17615.65,17609.585,-0.03,SL/Trail
2022-10-06,SHORT,10:20:00,11:00:00,17408.7,17406.26857142857,0.01,SL/Trail
2022-10-14,SHORT,09:40:00,10:45:00,17280.7,17281.365714285716,-0.0,SL/Trail
2022-10-17,SHORT,10:25:00,10:30:00,17217.7,17200.3,0.1,SL/Trail
2022-10-20,LONG,09:45:00,10:40:00,17450.35,17472.29642857143,0.13,SL/Trail
2022-11-14,LONG,10:20:00,10:25:00,18337.5,18339.25,0.01,SL/Trail
2022-12-21,SHORT,09:30:00,11:15:00,18430.75,18367.35357142857,0.34,SL/Trail
2023-01-02,SHORT,09:55:00,10:00:00,18160.3,18150.15,0.06,SL/Trail
2023-01-11,SHORT,10:20:00,10:25:00,17951.65,17930.35,0.12,SL/Trail
2023-02-01,SHORT,10:30:00,10:35:00,17809.45,17811.6,-0.01,SL/Trail
2023-02-23,SHORT,10:15:00,10:20:00,17594.2,17575.45,0.11,SL/Trail
2023-03-10,SHORT,10:25:00,11:05:00,17407.2,17420.88714285714,-0.08,SL/Trail
2023-03-15,SHORT,09:35:00,11:15:00,17148.2,17128.25142857143,0.12,SL/Trail
2023-03-23,SHORT,10:15:00,10:20:00,17146.4,17097.4,0.29,SL/Trail
2023-03-27,SHORT,09:50:00,09:55:00,17022.8,16990.1,0.19,SL/Trail
2023-04-12,LONG,10:25:00,12:05:00,17742.15,17759.74357142857,0.1,SL/Trail
2023-04-13,LONG,10:20:00,10:45:00,17800.4,17779.490714285716,-0.12,SL/Trail
2023-04-20,LONG,10:25:00,10:30:00,17608.7,17615.2,0.04,SL/Trail
2023-04-21,LONG,10:10:00,10:15:00,17617.65,17639.65,0.12,SL/Trail
2023-05-18,LONG,10:15:00,10:20:00,18227.7,18257.35,0.16,SL/Trail
2023-06-06,LONG,10:10:00,10:15:00,18580.6,18583.85,0.02,SL/Trail
2023-07-27,LONG,10:15:00,10:20:00,19813.0,19821.65,0.04,SL/Trail
2023-08-07,SHORT,10:30:00,12:00:00,19578.15,19549.195714285714,0.15,SL/Trail
2023-08-14,SHORT,10:20:00,11:05:00,19311.6,19322.69,-0.06,SL/Trail
2023-08-22,SHORT,09:45:00,09:50:00,19429.15,19423.27642857143,0.03,SL/Trail
2023-08-31,SHORT,10:00:00,11:20:00,19376.95,19326.170714285716,0.26,SL/Trail
2023-09-20,LONG,10:20:00,10:25:00,19970.85,19979.35,0.04,SL/Trail
2023-09-26,SHORT,10:15:00,10:20:00,19689.05,19695.2,-0.03,SL/Trail
2023-09-29,SHORT,10:00:00,10:05:00,19599.4,19600.25,-0.0,SL/Trail
2023-10-13,LONG,10:25:00,10:45:00,19685.2,19681.930714285714,-0.02,SL/Trail
2023-11-23,LONG,10:30:00,10:35:00,19805.1,19827.9,0.12,SL/Trail
2023-12-12,LONG,10:25:00,10:30:00,20993.4,21001.85,0.04,SL/Trail
2024-01-08,LONG,09:50:00,09:55:00,21679.65,21706.7,0.12,SL/Trail
2024-02-13,SHORT,10:15:00,10:20:00,21705.9,21678.05,0.13,SL/Trail
2024-03-21,SHORT,09:30:00,09:35:00,21981.55,22020.95,-0.18,SL/Trail
2024-03-22,SHORT,10:15:00,10:20:00,22057.5,21977.8,0.36,SL/Trail
2024-04-02,LONG,10:25:00,10:35:00,22430.15,22425.05,-0.02,SL/Trail
2024-05-03,LONG,10:25:00,10:30:00,22642.0,22757.4,0.51,SL/Trail
2024-05-06,LONG,10:15:00,10:20:00,22462.55,22511.6,0.22,SL/Trail
2024-07-24,LONG,09:50:00,10:25:00,24428.6,24406.882857142857,-0.09,SL/Trail
2024-08-02,LONG,09:55:00,10:00:00,24738.65,24751.1,0.05,SL/Trail
2024-08-07,SHORT,09:35:00,10:25:00,24247.25,24241.42,0.02,SL/Trail
2024-09-06,LONG,10:15:00,10:20:00,24908.6,25087.85,0.72,SL/Trail
2024-09-19,LONG,10:30:00,10:45:00,25515.75,25481.7,-0.13,SL/Trail
2024-10-03,LONG,10:20:00,11:00:00,25534.05,25499.155714285716,-0.14,SL/Trail
2024-10-10,SHORT,10:15:00,10:20:00,25104.2,25083.5,0.08,SL/Trail
2024-10-24,SHORT,10:20:00,11:35:00,24430.85,24418.929285714286,0.05,SL/Trail
2024-10-28,SHORT,10:10:00,10:15:00,24291.8,24292.9,-0.0,SL/Trail
2024-12-09,LONG,10:15:00,10:20:00,24595.6,24621.85,0.11,SL/Trail
2024-12-12,LONG,10:20:00,10:30:00,24617.8,24604.45,-0.05,SL/Trail
2024-12-17,LONG,09:55:00,10:00:00,24525.45,24567.45,0.17,SL/Trail
2024-12-24,SHORT,10:10:00,10:15:00,23804.85,23798.1,0.03,SL/Trail
2025-01-15,SHORT,10:30:00,10:45:00,23238.95,23273.55,-0.15,SL/Trail
2025-01-29,SHORT,10:10:00,10:15:00,23067.15,23046.2,0.09,SL/Trail
2025-02-13,SHORT,10:05:00,10:10:00,23170.6,23115.05,0.24,SL/Trail
2025-05-07,LONG,10:20:00,11:45:00,24348.35,24391.815714285716,0.18,SL/Trail
2025-05-30,LONG,10:30:00,10:35:00,24744.5,24780.0,0.14,SL/Trail
2025-07-01,LONG,10:25:00,10:55:00,25545.8,25521.682857142856,-0.09,SL/Trail
2025-07-08,LONG,10:15:00,10:45:00,25459.95,25435.875,-0.09,SL/Trail
2025-07-11,LONG,10:30:00,10:35:00,25219.9,25244.0,0.1,SL/Trail
2025-07-21,SHORT,10:15:00,10:20:00,25052.8,25037.2,0.06,SL/Trail
2025-08-01,SHORT,10:25:00,10:30:00,24764.45,24759.75,0.02,SL/Trail
